DCA License Number,Business Name,Business Name 2,Industry,Event Type,Event Date,Status
0364708-DCA,MARKEL REALTY CORP.,,Garage,Revoked,12/12/1988,Inactive
0830755-DCA,"ARENAS, LUIS A",,Stoop Line Stand,Revoked,1/3/1989,Inactive
0832815-DCA,JET AUTO BODY CORP.,,Tow Truck Company,Surrendered,4/12/1989,Inactive
0835133-DCA,CHERET CORP.,BISTRO DUNORD,Sidewalk Cafe,Surrendered,5/16/1989,Inactive
0694145-DCA,"KINGS PLAZA AMC/JEEP, INC.",,Secondhand Dealer - Auto,Surrendered,7/27/1989,Inactive
0828818-DCA,,,Tow Truck Driver,Revoked,5/18/1990,Inactive
0833077-DCA,"BROOKDALE AUTO CENTER, INC.",,Tow Truck Company,Revoked,6/4/1990,Inactive
0817682-DCA,"METIVIER, FRANK",F M TIRE SHOP,Secondhand Dealer - General,Surrendered,6/11/1990,Inactive
0805748-DCA,"TAK, JOUNG SIK",APPLE TREE MARKET,Stoop Line Stand,Revoked,9/17/1990,Inactive
0700288-DCA,,,Home Improvement Salesperson,Revoked,4/9/1991,Inactive
0832958-DCA,CARTUNE AUTO BODY INC,,Tow Truck Company,Revoked,5/7/1991,Inactive
0860856-DCA,,,General Vendor,Revoked,6/11/1991,Inactive
0830188-DCA,JUDEX ENTERPRISES INC.,PANGEA,Sidewalk Cafe,Surrendered,8/12/1991,Inactive
0813717-DCA,BELAIR CONSTRUCTION CORP.,,Home Improvement Contractor,Revoked,12/3/1991,Inactive
0858468-DCA,"KIM, SUNG YUL",K C MARKET,Stoop Line Stand,Surrendered,12/10/1991,Inactive
0673965-DCA,JJL BUILDING MATERIAL CO. INC.,,Home Improvement Contractor,Revoked,1/27/1992,Inactive
0833189-DCA,CARTOON AUTOMOTIVE INC.,,Tow Truck Company,Revoked,4/8/1992,Inactive
0795082-DCA,,,Auctioneer,Revoked,4/21/1992,Inactive
0818213-DCA,"CROSS BAY APPLIANCE SERVICE, INC.",,Electronic & Appliance Service,Surrendered,5/29/1992,Inactive
0837836-DCA,"OZAETA, MINDA",,Laundry,Surrendered,7/9/1992,Inactive
0427602-DCA,EAST 158TH PARKING CORPORATION,,Garage,Surrendered,7/23/1992,Inactive
0813768-DCA,"CANEPA, NICHOLAS",KITCHEN KONCEPT,Home Improvement Contractor,Revoked,8/5/1992,Inactive
0883615-DCA,"ALBASINI, ANTHONY & ALBASINI, MICHAEL",TON-KA TOWING,Tow Truck Company,Revoked,11/5/1992,Inactive
0733986-DCA,THERMO SASH INC,,Home Improvement Contractor,Revoked,1/20/1993,Inactive
0838273-DCA,FRESH START HOME IMPROVEMENT CORP.,,Home Improvement Contractor,Revoked,1/20/1993,Inactive
0677668-DCA,FRANK HUZA INC,,Home Improvement Contractor,Surrendered,1/21/1993,Inactive
0893465-DCA,"FAMOUS FRUIT PLAZA, INC.",,Stoop Line Stand,Revoked,5/4/1993,Inactive
0836673-DCA,CAUCCHIO ENTERPRISES INC,QUALITY ROOFING,Home Improvement Contractor,Suspended,8/12/1993,Inactive
0813644-DCA,"NEW WAVES LAUNDERCENTER, INC.",,Laundry,Surrendered,2/23/1994,Inactive
0887748-DCA,"MUISE, RUSSELL",MUISE CONSTRUCTION,Home Improvement Contractor,Suspended,3/16/1994,Inactive
0893277-DCA,"MANTEL & DOREN, INC.",,Secondhand Dealer - General,Surrendered,4/22/1994,Inactive
