Neighborhood,Class,Units,YearBuilt,SqFt,Income,IncomePerSqFt,Expense,ExpensePerSqFt,NetIncome,Value,ValuePerSqFt,Boro
FINANCIAL,R4-CONDOMINIUM,78,1985,126420,6633257,52.47,1762295,13.94,4870962,30690000,242.76,Manhattan
FINANCIAL,RR-CONDOMINIUM,500,NA,554174,17310000,31.24,3543000,6.39,13767000,90970000,164.15,Manhattan
FINANCIAL,R4-CONDOMINIUM,282,1930,249076,11776313,47.28,2784670,11.18,8991643,67556006,271.23,Manhattan
TRIBECA,R4-CONDOMINIUM,239,1985,219495,10004582,45.58,2783197,12.68,7221385,54320996,247.48,Manhattan
TRIBECA,R4-CONDOMINIUM,133,1986,139719,5127687,36.7,1497788,10.72,3629899,26737996,191.37,Manhattan
TRIBECA,R4-CONDOMINIUM,109,1985,105000,4365900,41.58,1273650,12.13,3092250,22210281,211.53,Manhattan
TRIBECA,R4-CONDOMINIUM,107,1986,87479,3637377,41.58,1061120,12.13,2576257,19449002,222.33,Manhattan
TRIBECA,R4-CONDOMINIUM,247,1987,255845,11246946,43.96,2440761,9.54,8806185,66316999,259.21,Manhattan
TRIBECA,R4-CONDOMINIUM,121,1985,106129,4115683,38.78,1231096,11.6,2884587,21821999,205.62,Manhattan
TRIBECA,R4-CONDOMINIUM,154,1986,126008,5239413,41.58,1528477,12.13,3710936,28015990,222.34,Manhattan
TRIBECA,R4-CONDOMINIUM,546,1987,586224,24375194,41.58,7110897,12.13,17264297,130154990,222.02,Manhattan
TRIBECA,R4-CONDOMINIUM,182,1988,208281,8077137,38.78,2416060,11.6,5661077,42824998,205.61,Manhattan
TRIBECA,R4-CONDOMINIUM,293,1988,341489,13591262,39.8,4309591,12.62,9281671,70161999,205.46,Manhattan
TRIBECA,R4-CONDOMINIUM,117,2003,267723,12202814,45.58,3394728,12.68,8808086,62110366,231.99,Manhattan
TRIBECA,R4-CONDOMINIUM,234,2006,431824,18041607,41.78,5298480,12.27,12743127,89682996,207.68,Manhattan
TRIBECA,R4-CONDOMINIUM,304,1985,257848,11752712,45.58,3269513,12.68,8483199,63811996,247.48,Manhattan
TRIBECA,R4-CONDOMINIUM,256,2006,434398,19799861,45.58,5508167,12.68,14291694,100582005,231.54,Manhattan
TRIBECA,R4-CONDOMINIUM,174,1985,237725,10051013,42.28,2498490,10.51,7552523,57048005,239.97,Manhattan
FINANCIAL,R4-CONDOMINIUM,13,1920,37236,1545666,41.51,439012,11.79,1106654,8355001,224.38,Manhattan
FINANCIAL,R4-CONDOMINIUM,452,1956,316810,14551083,45.93,3760535,11.87,10790548,81144002,256.13,Manhattan
FINANCIAL,R4-CONDOMINIUM,162,1982,231300,9779364,42.28,2430963,10.51,7348401,43229973,186.9,Manhattan
FINANCIAL,R4-CONDOMINIUM,320,2005,477747,19864720,41.58,5795071,12.13,14069649,106168339,222.23,Manhattan
FINANCIAL,R4-CONDOMINIUM,382,1914,648926,27436591,42.28,6820212,10.51,20616379,155560004,239.72,Manhattan
FINANCIAL,R4-CONDOMINIUM,107,1836,159544,7798511,48.88,1973559,12.37,5824952,43678004,273.77,Manhattan
FINANCIAL,RR-CONDOMINIUM,350,1929,346789,13511000,38.96,3172000,9.15,10339000,78272000,225.7,Manhattan
FINANCIAL,R4-CONDOMINIUM,126,1987,96902,3271412,33.76,995184,10.27,2276228,16895998,174.36,Manhattan
FINANCIAL,R4-CONDOMINIUM,31,1900,20308,854154,42.06,291217,14.34,562937,3751007,184.71,Manhattan
FINANCIAL,R4-CONDOMINIUM,347,1987,422833,19420720,45.93,5019028,11.87,14401692,83690005,197.93,Manhattan
FINANCIAL,R4-CONDOMINIUM,121,1956,109468,4199192,38.36,1321279,12.07,2877913,21777997,198.94,Manhattan
FINANCIAL,R4-CONDOMINIUM,20,1902,39607,1644087,41.51,466967,11.79,1177120,8886999,224.38,Manhattan
FINANCIAL,R4-CONDOMINIUM,90,1893,73507,2563189,34.87,784320,10.67,1778869,13165001,179.1,Manhattan
FINANCIAL,R4-CONDOMINIUM,408,1928,548976,23210705,42.28,5769738,10.51,17440967,118799990,216.4,Manhattan
FINANCIAL,RR-CONDOMINIUM,13,1900,21069,461000,21.88,188000,8.92,273000,1875000,88.99,Manhattan
FINANCIAL,R4-CONDOMINIUM,12,1913,65992,2374392,35.98,729872,11.06,1644520,6787002,102.85,Manhattan
FINANCIAL,R4-CONDOMINIUM,102,1903,71985,2988097,41.51,848703,11.79,2139394,16151989,224.38,Manhattan
FINANCIAL,R4-CONDOMINIUM,160,2007,215467,7752503,35.98,2383065,11.06,5369438,39629986,183.93,Manhattan
FINANCIAL,R4-CONDOMINIUM,145,1927,186512,7885727,42.28,1960241,10.51,5925486,44711007,239.72,Manhattan
FINANCIAL,R4-CONDOMINIUM,113,1967,112213,4744366,42.28,1179359,10.51,3565007,26900017,239.72,Manhattan
FINANCIAL,RR-CONDOMINIUM,221,1931,214364,7055000,32.91,2020000,9.42,5035000,37493000,174.9,Manhattan
FINANCIAL,R4-CONDOMINIUM,14,1982,24362,835129,34.28,188806,7.75,646323,4789000,196.58,Manhattan
FINANCIAL,RR-CONDOMINIUM,156,2000,142626,4812280,33.74,1059660,7.43,3752620,24970000,175.07,Manhattan
FINANCIAL,R4-CONDOMINIUM,441,2003,348157,14476368,41.58,4223144,12.13,10253224,77405999,222.33,Manhattan
FINANCIAL,RR-CONDOMINIUM,19,1930,28775,850301,29.55,314356,10.92,535945,3751000,130.36,Manhattan
FINANCIAL,R4-CONDOMINIUM,14,1910,22613,905425,40.04,264346,11.69,641079,4845000,214.26,Manhattan
FINANCIAL,R4-CONDOMINIUM,73,1909,89994,3333378,37.04,691154,7.68,2642224,19447000,216.09,Manhattan
FINANCIAL,R4-CONDOMINIUM,21,1900,66930,2408141,35.98,740246,11.06,1667895,12305999,183.86,Manhattan
FINANCIAL,R4-CONDOMINIUM,67,1906,66575,2395369,35.98,736320,11.06,1659049,12240999,183.87,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,210,1896,196837,6407044,32.55,1979777,10.06,4427267,30017000,152.5,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,9,1923,20883,664288,31.81,244331,11.7,419957,3140000,150.36,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,163,1940,191740,6685974,34.87,2300880,12,4385094,32452994,169.26,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,22,1983,37170,1254859,33.76,444182,11.95,810677,6017001,161.88,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,18,1900,23044,733030,31.81,269608,11.7,463422,3455999,149.97,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,15,1910,25825,871852,33.76,265223,10.27,606629,4503000,174.37,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,15,1999,20091,678272,33.76,206335,10.27,471937,3503000,174.36,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,125,1900,168889,5725337,33.9,2026668,12,3698669,27446000,162.51,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,49,1900,37646,1137662,30.22,418624,11.12,719038,5292822,140.59,Manhattan
TRIBECA,R4-CONDOMINIUM,128,1987,115909,4958587,42.78,1407135,12.14,3551452,26786996,231.1,Manhattan
TRIBECA,R4-CONDOMINIUM,133,1987,138016,5904324,42.78,1675514,12.14,4228810,31896000,231.1,Manhattan
TRIBECA,R4-CONDOMINIUM,11,2001,54500,2220330,40.74,712315,13.07,1508015,11391999,209.03,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,8,1969,17000,486540,28.62,137020,8.06,349520,2012991,118.41,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,10,1900,22964,826245,35.98,253982,11.06,572263,3971997,172.97,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,27,1900,59853,2246283,37.53,622471,10.4,1623812,7359002,122.95,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,75,1930,118046,5339221,45.23,1300867,11.02,4038354,28800004,243.97,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,14,1860,32039,1169744,36.51,300205,9.37,869539,6408000,200.01,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,87,1910,217318,9188205,42.28,2284012,10.51,6904193,52094996,239.72,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,26,1900,50165,1831524,36.51,470046,9.37,1361478,7964002,158.76,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,15,2007,15060,736133,48.88,186292,12.37,549841,3109996,206.51,Manhattan
TRIBECA,R4-CONDOMINIUM,12,1920,30062,1081631,35.98,332486,11.06,749145,4928001,163.93,Manhattan
TRIBECA,R4-CONDOMINIUM,83,1987,89377,3973701,44.46,1099337,12.3,2874364,21638002,242.1,Manhattan
TRIBECA,R4-CONDOMINIUM,80,1988,66551,2767191,41.58,807264,12.13,1959927,14796000,222.33,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1930,28000,1059520,37.84,313320,11.19,746200,4301000,153.61,Manhattan
TRIBECA,R4-CONDOMINIUM,38,1931,87334,3675015,42.08,986001,11.29,2689014,16060010,183.89,Manhattan
TRIBECA,R4-CONDOMINIUM,1,1915,2660,113954,42.84,30617,11.51,83337,422400,158.8,Manhattan
TRIBECA,R4-CONDOMINIUM,30,1910,92487,3327682,35.98,1022906,11.06,2304776,17006001,183.87,Manhattan
TRIBECA,RR-CONDOMINIUM,163,2006,182235,6570000,36.05,1027000,5.64,5543000,38389000,210.66,Manhattan
TRIBECA,R4-CONDOMINIUM,220,2006,535060,24200764,45.23,5896361,11.02,18304403,136481149,255.08,Manhattan
TRIBECA,R4-CONDOMINIUM,311,2005,314373,14329121,45.58,3986250,12.68,10342871,77801025,247.48,Manhattan
TRIBECA,R4-CONDOMINIUM,12,1910,27928,1004849,35.98,308884,11.06,695965,4576001,163.85,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,2,1915,12688,480114,37.84,141979,11.19,338135,2334000,183.95,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,20,1920,24992,997181,39.9,317148,12.69,680033,5140002,205.67,Manhattan
